title,subtitle,short_description,style_description,details,price,num_colors
Customs Authentic Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Authentic, Vans original and iconic lace-up, is a low-top made with durable canvas, metal eyelets, Vans signature Waffle Outsole and the iconic red heel tab. And now they’re available in Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the ability to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$80.00,
Customs Sk8-Hi Checkerboard Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Sk8-Hi, Vans legendary lace-up high-top built for skating, has an Off the Wall persona thanks to the iconic leather sidestripe, study canvas reinforced toecaps to withstand abuse, a flexible padded collar and heel and Vans signature Waffle Outsole. Now they’re available in Vans Customs where each shoe can be personalized with custom leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$110.00,
Customs Sk8-Hi Leather Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Sk8-Hi, Vans legendary lace-up high-top built for skating, has an Off the Wall persona thanks to the iconic leather sidestripe, study canvas reinforced toecaps to withstand abuse, a flexible padded collar and heel and Vans signature Waffle Outsole. Now they’re available in Vans Customs where each shoe can be personalized with custom leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone.",,$110.00,
Customs Classic Slip-On Leather Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Classic Slip-On has a laid-back laceless canvas profile, padded collar, elastic accents, and Vans signature Waffle Outsole. Now they’re available in Vans Customs with multiple leather and suede options, exclusive patterns available only in Customs, and the option to Upload Your Art or photos on each shoe from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$90.00,
Customs UltraRange EXO Checkerboard Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","Armed with a co-molded UltraCush midsole, updated RapidWeld detailing, a lightweight, die-cut rubber outsole, and a breathable Old Skool-inspired upper, this is the UltraRange—evolved. The UltraRange EXO is made with elevated textile and synthetic uppers. Pick your shoe, pick your colors and patterns, and make them yours.",,$140.00,
Customs Sk8-Hi Halloween Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Sk8-Hi, Vans legendary lace-up high-top built for skating, has an Off the Wall persona thanks to the iconic leather sidestripe, study canvas reinforced toecaps to withstand abuse, a flexible padded collar and heel and Vans signature Waffle Outsole. Now they’re available in Vans Customs where each shoe can be personalized with custom leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$110.00,
Customs Authentic Checkerboard Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Authentic, Vans original and iconic lace-up, is a low-top made with durable canvas, metal eyelets, Vans signature Waffle Outsole and the iconic red heel tab. And now they’re available in Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the ability to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$80.00,
Customs Old Skool Checkerboard Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Old Skool, the first shoe to bear the iconic leather sidestripe and the go-to style for every skate enthusiast, is a low-top lace-up style made with durable canvas, metal eyelets, a padded tongue and lining and Vans signature Waffle Outsole. Now they’re available on Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$100.00,
Customs Old Skool Halloween Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Old Skool, the first shoe to bear the iconic leather sidestripe and the go-to style for every skate enthusiast, is a low-top lace-up style made with durable canvas, metal eyelets, a padded tongue and lining and Vans signature Waffle Outsole. Now they’re available on Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$100.00,
Toddler Old Skool V Unicorn Shoe,Est. '77 | Feel Something New.,"The birth of our iconic SideStripe™, there’s always something new with the Old Skool.","The Toddlers Old Skool V reimagines our iconic Sidestripe shoe by swapping traditional laces for double hook-and-loop closures. Made with color blocked suede and canvas uppers in deep vintage tones, this low-top style maintains its classic appeal while providing an easy, secure fit that will keep your little one comfortable all day.",Toddler low-top shoe Recommended for ages 9 months to 4 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Double hook-and-loop closures for easy on-and-off Durable rubber sidewall with classic foxing stripe Reinforced toe bumper for heavy wear and tear Signature waffle outsole pattern for reliable grip since '66 Vulcanized sole for superior board feel and flexibility Iconic Sidestripe™ insignia,Initial price:$43.00Previous discounted price:$34.95Current discounted price:$20.97,12 colors
Customs Authentic Halloween Checkerboard Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Authentic, Vans original and iconic lace-up, is a low-top made with durable canvas, metal eyelets, Vans signature Waffle Outsole and the iconic red heel tab. And now they’re available in Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the ability to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$80.00,
Customs Sk8-Hi Holiday Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Sk8-Hi, Vans legendary lace-up high-top built for skating, has an Off the Wall persona thanks to the iconic leather sidestripe, study canvas reinforced toecaps to withstand abuse, a flexible padded collar and heel and Vans signature Waffle Outsole. Now they’re available in Vans Customs where each shoe can be personalized with custom leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$110.00,
Customs Authentic Suede Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Authentic, Vans original and iconic lace-up, is a low-top made with durable canvas, metal eyelets, Vans signature Waffle Outsole and the iconic red heel tab. And now they’re available in Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the ability to Upload Your Art or photos from your computer or smartphone.",,$90.00,
Customs Authentic Leather Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Authentic, Vans original and iconic lace-up, is a low-top made with durable canvas, metal eyelets, Vans signature Waffle Outsole and the iconic red heel tab. And now they’re available in Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the ability to Upload Your Art or photos from your computer or smartphone.",,$90.00,
Customs Authentic Holiday Checkerboard Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Authentic, Vans original and iconic lace-up, is a low-top made with durable canvas, metal eyelets, Vans signature Waffle Outsole and the iconic red heel tab. And now they’re available in Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the ability to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$80.00,
Womens Encore Pro Snowboard Boot,,,"With timeless style, comfort, and dependable control in equal measure, the Encore Pro is an advanced and versatile womens-specific BOA boot built to perform in all environments. It features our dual-zone BOA Fit System featuring Vans Custom Focus for unlimited, on-the-fly micro-adjustability, backed by the customizable comfort and heel hold of the Custom Slide Guide. Add in the V2 UltraCush Smartwool liner and V2 POPCUSH footbed, and the Encore Pro just might be your next favorite thing about snowboarding. It is normal for V-Series liners to fit snug right out of the box. After several hours of use, the dual-density, heat-moldable core of the liner will begin to shape to your foot, creating unparalleled comfort and a uniquely perfect fit. We recommend that you purchase your regular size.","TERRAIN: BACKCOUNTRY AND ALL-MOUNTAIN This boot has been optimized for versatility, from parks and rails to steep, deep, untouched terrain. V2 UltraCush WITH SMARTWOOL LINER Made with soft, odor-resistant, moisture-managing Smartwool Merino wool and an UltraCush interior cushioning layer, this liner is warm yet breathable' helping to maintain a dry, thermoregulated microclimate inside your boot. V2 POPCUSH FOOTBED The dual-density POPCUSH construction includes an advanced 3D-molded anatomical shape, airflow perforations, a nylex moisture-wicking top sheet, and an anti-fatigue coring design. V2 WAFFLE PRO OUTSOLE WITH ALL-TRAC COLD WEATHER RUBBER COMPOUND The V2 Waffle Pro is built for both on- and off-snowboard performance. Uncompromising natural flex and a weight-reducing, impact-resisting UltraCush midsole provide incredible boardfeel, while a Vans-exclusive lug tread pattern and rubber compound give you the grip and traction you need to scramble the side country with confidence. BOA FIT SYSTEM FEATURING VANS CUSTOM FOCUS WITH SLIDE GUIDE Custom Focus features a high-power coiler dial (H4) and a mid-power remote dial (M+2) to control three zones of fit linked by Vans exclusive Custom Slide Guide, delivering concentrated fit around the instep area for focused heel hold. V2 HARNESS - Customize your heel hold with the V2 harness as it works in tandem with the V2 liner to provide enhanced support and a personalized fit. INSTEP FLEX ZONE The Instep Flex Zone functions to maintain natural ankle flexion in your boot, whether in or out of your bindings. PLEASURECUFF The supple elasticity of the PleasureCuff delivers a cushioned, comfortable fit that keeps your calves supported. HEAT RETENTION 360o The thermal retention layer provides a 360¬∞ wrap of the toe box and between the outsole and the liner. This essential layer keeps heat in and cold out, ensuring all-day warmth and comfort. UPPER MATERIALS Textile and synthetic FLEX RATING 5-6 SKILL LEVEL Intermediate, advanced",Initial price:$310.00Previous discounted price:$229.95Current discounted price:$137.97,2 colors
Skate 2 Wayvee Shoe,The best of both worlds.,Cupsole support meets vulcanized board feel with our WaffleCup™ outsole.,"The Wayvee 2.0 is built for skaters who demand both performance and style. Evolving from its original design, this updated model refines key elements to deliver a next-level skate experience. Featuring breathable mesh, a durable mudguard panel, and Vans’ signature Wafflecup construction, the Wayvee 2.0 blends cutting-edge technology with timeless aesthetics.","Breathable mesh upper for lightweight, ventilated comfort Designed for skateboarding with enhanced durability and performance features Integrated shoelace protection for skate-specific functionality Durable mudguard panel for added protection in high-wear areas PopCush™ footbeds offer impact protection and reduce leg fatigue for extended skating DURACAP™ underlays add reinforcement to high-wear areas SickStick™ rubber—our stickiest yet—keeps you glued to your board Wafflecup™ combines cupsole support and durability with vulcanized board feel and flexibility Iconic Sidestripe™ insignia",Initial price:$100.00Previous discounted price:$84.95Current discounted price:$50.97,3 colors
Customs Old Skool Holiday Checkerboard Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Old Skool, the first shoe to bear the iconic leather sidestripe and the go-to style for every skate enthusiast, is a low-top lace-up style made with durable canvas, metal eyelets, a padded tongue and lining and Vans signature Waffle Outsole. Now they’re available on Vans Customs where each shoe can be personalized with leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$100.00,
Womens Hi-Standard Pro X Jill Perkins Snowboard Boot,,,"For this season, we go back-to-back with the Hi-Standard Pro, a versatile workhorse and all-around team favorite, enjoying an exercise in creative exploration by some of the most unique personalities on our global roster. Tapping into Jill Perkinss constant pursuit of gassing up her friends to Benny Urbans tasteful skate influence, each rendition is helplessly original, true to who they are, and, frankly, we cannot get enough of it. Epitomizing the romance that is Vans Snows diverse cast of characters, this winters Hi-Standard Pro lineup highlights our mission of empowering the snow community to be their most authentic selves‚ whether you already know who that is or are still in the process of figuring it out. Featuring our V2 package, including a V2 UltraCush Smartwool liner, a V2 POPCUSH footbed, and a Waffle Pro outsole, the Hi-Standard Pro X Jill Perkins Snowboard Boot continues to capitalize on the intersection of performance and self-discovery. It is normal for V-Series liners to fit snug right out of the box. After several hours of use, the dual-density, heat-moldable core of the liner will begin to shape to your foot, creating unparalleled comfort and a uniquely perfect fit. We recommend that you purchase your regular size.","VANS X JILL PERKINS COLLECTION TERRAIN: ALL-MOUNTAIN AND PARK/STREET This boot has been optimized for versatility, from parks and powder to urban environments, and everything in between. V2 UltraCush WITH SMARTWOOL LINER Made with soft, odor-resistant, moisture-managing Smartwool Merino wool and an UltraCush interior cushioning layer, this liner is warm yet breathable‚ helping to maintain a dry, thermoregulated microclimate inside your boot. V2 POPCUSH FOOTBED The dual-density POPCUSH construction includes an advanced 3D-molded anatomical shape, airflow perforations, a nylex moisture-wicking top sheet, and an anti-fatigue coring design. V2 WAFFLE PRO OUTSOLE WITH ALL-TRAC COLD WEATHER RUBBER COMPOUND The V2 Waffle Pro is built for both on- and off-snowboard performance. Uncompromising natural flex and a weight-reducing, impact-resisting UltraCush midsole provide incredible boardfeel, while a Vans-exclusive lug tread pattern and rubber compound give you the grip and traction you need to scramble the side country with confidence. V2 HARNESS - Customize your heel hold with the V2 harness as it works in tandem with the V2 liner to provide enhanced support and a personalized fit. WATERPROOF, BREATHABLE VALVES - These waterproof valves allow one-way moisture management by transporting moisture away from your foot, ensuring breathability and thermal regulation for dry, comfortable feet. POWERCUFF STRAP Power is the operative word. It provides extra support at the top of the boot for increased stability and response, giving riders customizable levels of engagement. INSTEP FLEX ZONE The Instep Flex Zone functions to maintain natural ankle flexion in your boot, whether in or out of your bindings. PLEASURECUFF The supple elasticity of the PleasureCuff delivers a cushioned, comfortable fit that keeps your calves supported. HEAT RETENTION 360o The thermal retention layer provides a 360¬∞ wrap of the toe box and between the outsole and the liner. This essential layer keeps heat in and cold out, ensuring all-day warmth and comfort. UPPER MATERIALS Textile and synthetic FLEX RATING 5-6 SKILL LEVEL Intermediate, advanced",Initial price:$300.00Previous discounted price:$219.95Current discounted price:$131.97,2 colors
Premium Old Skool Efron Shoe,New Future.,"Efron flips the Premium Old Skool script by adding a heeled cupsole, full-grain leather and silver hardware for an elevated take on the icon.","Whether skating the streets or walking the runway, Efron proudly blurs the lines between core skate and high fashion. When designing her Premium Old Skool, she brought her femme-meets-punk aesthetic for a truly unique take on the iconic silhouette. Since Efron spends a lot of time skating in flat shoes, she added a heel to the custom outsole and designed the upper with rich, all-black leather, metal hardware and a corset lacing system. This is the Old Skool like you’ve never seen it.","Reimagined low top shoe A buttery soft, full-grain leather upper with tumbled finish Dual buckle straps with integrated eyelets across the tongue Metal hardware with grommet detailing Ankle strap with rear buckle wraps around the hee Custom heeled cupsole for a subtly feminine silhouette Co-branded PopCush™ footbeds offer impact protection Iconic Sidestripe doubles as a strap anchor",Initial price:$120.00Previous discounted price:$94.95Current discounted price:$56.97,4 colors
Chukka Push Shoe,Inspired by the Classics.,"Timeless and versatile style, made for everyday wear.","A non-Sidestripe style that honors our heritage while pushing the boundaries of style forward, the Chukka Push utilizes exaggerated Y2K and skate-inspired flare on a classic blucher toe. Simple but exaggerated, this modernized 90s style expands on the nostalgia trend while blazing its own forward-looking trail.",Non-Sidestripe 90s-Inspired Style Sturdy suede and canvas uppers Puff collar with logo tab Oversized hang flag Heel moustache with debossed logo Supportive padded collars Signature rubber waffle outsoles,Initial price:$70.00Previous discounted price:$44.95Current discounted price:$26.97,1 color
Little Kids Sk8-Mid Reissue V Skeleton Shoe,,,"Inspired by the legendary Vans high-top, the Kids Sk8-Mid Reissue V Glow is a versatile mid-top shoe with just the right amount of ankle height and padding. Along with a familiar Sk8-Hi aesthetic, this kid-friendly silhouette features a checkerboard print that glows in the dark and hook-and-loop closures for a secure fit that’s easy to take on and off without fuss.",Little kids mid top shoe Recommended for ages 4 - 8 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Double hook-and-loop closures for easy on and off Durable rubber sidewall with classic foxing stripe Reinforced toe bumper for heavy wear and tear Signature waffle outsole pattern for reliable grip since '66 Vulcanized sole for superior board feel and flexibility Iconic Sidestripe™ insignia Glow-in-the-dark skeleton artwork,Initial price:$55.00Previous discounted price:$49.95Current discounted price:$29.97,10 colors
Customs Classic Slip-On Platform Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Classic Slip-On Platform transcends generations of pop culture with a smooth laceless profile, padded collar and a sturdy platform rubber Waffle Outsole. Now they’re available on Vans Customs with multiple suede and leather options, exclusive patterns that are available only in Customs, and the option to Upload Your Art or photos directly onto a set from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$85.00,
Womens Viaje Range Edition X Hana Beaman Snowboard Boot,,,"Hana Beaman is an icon of snowboarding. Her more than twenty-year career and journey from contest-focused Southern Californian to globally traveled and backcountry-experienced veteran reflects not only her ability to evolve with a constantly pivoting snowboard community, but also her passion to push the boundaries of what a professional athlete is capable of after years of industry ups and downs, travel miles, and heavy bails. This season, Hana put her mark on the Viaje Range Edition, the absolute outer rim and frontline of progressive snowboard boots for women. Designed to support overland adventures and uphill travel, the Range Editions Adaptive Range Mode features a Range Limiter and Rear Drop Cuff which can be unlocked to widen the top opening of the boot for a significantly expanded range of motion. Skinning a switchback, punching up for quick pow scores, ripping the snowmobile deep into the hills, or just going for a good old-fashioned hike, the Viaje Range Edition X Hana Beaman Snowboard Boot gets you there with less effort and more versatility than ever before. It is normal for V-Series liners to fit snug right out of the box. After several hours of use, the dual-density, heat-moldable core of the liner will begin to shape to your foot, creating unparalleled comfort and a uniquely perfect fit. We recommend that you purchase your regular size.","VANS X HANA BEAMAN COLLECTION TERRAIN: BACKCOUNTRY AND ALL-MOUNTAIN This boot has been optimized for versatility, from parks and rails to steep, deep, untouched terrain. V3 RANGE EDITION UltraCush WITH THE NORTH FACE FLASHDRY LINER This liner offers all the same great features as its V3 counterpart, but adds the extended and lower-reaching PleasureCuff. When combined with the Adaptive Range Mode, expect an unmatched range of motion when hiking or skinning. V3 POPCUSH FOOTBED From the tri-density POPCUSH construction to the OrthoLite open-cell foam top layer, the V3 footbed provides unmatched comfort and performance. V3 WAFFLE SUPERENDURO OUTSOLE WITH ALL-TRAC COLD WEATHER RUBBER COMPOUND - The V3 SuperEnduro outsole is designed to offer maximum performance in and out of your bindings. With a multi-directional tread design, surface-level texturing, a molded TPU toe pick, and an expanded impact absorption zone, there's no keeping up with this all-terrain apex predator. BOA FIT SYSTEM FEATURING VANS CUSTOM FOCUS PLUS WITH SLIDE GUIDE Custom Focus Plus features two high-power (H4) dials that control three zones of fit linked by Vans exclusive Custom Slide Guide, delivering concentrated fit around the instep area for superior heel hold. ADAPTIVE RANGE MODE The functional objective of Adaptive Range Mode is to widen the opening of the snowboard boot to allow for a more natural gait and extended range of motion on overland adventures or commuting uphill travel. Disengaging the Ride Mode strap opens the Rear Drop-Cuff and two-way stretch gore, providing significantly more calf articulation for longer strides and less wasted energy. WATERPROOF ZIPPER SHROUD + D RING This feature is a durable and weatherproof fabric shield that protects the lower part of your boot from snow, ice, and moisture.  It also features a metal D-ring for securely fastening your pant gaiters to lock out snow. EXOCAP MOLDED TOE PROTECTION- A molded plastic toe cap provides maximum protection and extra space in the toe box to keep your toes wiggling and warm. VANS FLEX CONTROL SYSTEM - Our removable, high-rebound Hytrel tongue stiffeners enable riders to custom-tune their boot flex. Keep both in for maximum support, use just one for increased lateral or medial response, or take them both out for a softer-flexing boot. As your boots soften up over time, add the tongue stiffeners back in to extend the life of your boots. WATERPROOF, BREATHABLE VALVES - These waterproof valves allow one-way moisture management by transporting moisture away from your foot, ensuring breathability and thermal regulation for dry, comfortable feet. INSTEP FLEX ZONE The Instep Flex Zone functions to maintain natural ankle flexion in your boot, whether in or out of your bindings. POWERCUFF STRAP Power is the operative word. It provides extra support at the top of the boot for increased stability and response, giving riders customizable levels of engagement. UPPER MATERIALS Leather, textile, and synthetic FLEX RATING 6-9 SKILL LEVEL Intermediate, advanced",Initial price:$465.00Previous discounted price:$349.95Current discounted price:$209.97,1 color
Customs Skate Authentic Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","Completely redesigned for modern skateboarding, the all-new Skate Classics Customs collection delivers more of what skateboarders need to enable maximum progression. With a fully redesigned upper, molded heel counter, internal tongue straps, and a repositioning of the DURACAP™ underlay reinforcements, the Skate Classics collection offers the iconic style you want with the durability and performance for daily skateboarding you need. Pick your shoe, pick your colors and patterns, and make them yours.",,$90.00,
Toddler Sk8-Mid Reissue V Skeletons Shoe,,,"Inspired by the legendary Vans high-top that launched in the 70s, the Toddler Sk8-Mid Reissue V Shoe is a versatile mid-top shoe with just the right amount of ankle height and padding. Along with a familiar Sk8-Hi aesthetic, this toddler-friendly silhouette features hook-and-loop closures for a secure fit that’s easy to take on and off without fuss.",Toddler high top shoe Recommended for ages 9 months to 4 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Double hook-and-loop closures for easy on and off Tongue pull assists with slipping the shoes on quickly Durable rubber sidewall with classic foxing stripe Reinforced toe bumper for heavy wear and tear Signature waffle outsole pattern for reliable grip since '66 Vulcanized sole for superior board feel and flexibility Iconic Sidestripe™ insignia Glow in the dark skeletons artwork,Initial price:$50.00Previous discounted price:$44.95Current discounted price:$26.97,3 colors
Premium Old Skool Suede Shoe,Feel Something New.,"The same iconic style, upgraded with refined materials and modernized construction.","The Punk Capsule revives bold leopard prints and standout solids, echoing colorways first adopted by early punk and hardcore musicians in the ’70s and ’80s. Our updated Premium build is the same iconic Old Skool silhouette refined for today with enhanced cushioning and an upgraded footbed. Glossy sidewalls, higher foxing tape and archival branding honor the original details of ‘90s era-Vans footwear.","Skate-inspired, low-top shoe Music Collection, Punk Capsule 8 oz canvas and suede upper layers two textures Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, 30% bio-based material Upgraded footbed and refined construction combine for a seamless fit Higher sidewall with glossy finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Leather collar lining and padded collar for support and comfort 100% cotton laces, woven flag label Regenerative rubber outsoles for more sustainability Iconic Sidestripe™ insignia",Initial price:$90.00Previous discounted price:$74.95Current discounted price:$44.97,1 color
Crestline GORE-TEX Shoe,Our most advanced footwear offering yet.,"Built with a GORE-TEX waterproof upper and reinforcements for all-weather, all-terrain style.","The MTE Crestline ADV Gore-Tex Shoe is Vans’ most advanced footwear offering to date. Built on an all-new last, this full height sneaker-boot provides a roomier fit for a top-to-bottom technical hiker that is stylish, rugged, versatile, and comfortable for anyone, in any situation. Finished with a tough waterproof GORE-TEX upper for maximum protection against unpredictable elements and tough terrain, the MTE Crestline ADV Gore-Tex Shoe delivers full-foot comfort and support wherever and whenever you need it, while maintaining a look that sets it apart.","Full-height waterproof sneaker-boot Designed for technical trail hiking but versatile enough for everyday wear Waterproof, breathable GORE-TEX upper guaranteed to keep you dry All-Trac treaded outsole delivers reliable traction in all weather conditions Non-insulated, designed for four-season wearability Leather-reinforced high-flex zones provide both durability and mobility Reinforced toe, heel caps, and mudguards provide maximum protection on tough terrain UltraCush midsole cushioning with TPU clip for a slightly firmer ride with added stability Maximum stability and moderate cushioning Made using recycled, renewable, and/or regenerative materials Earns Vans Sustainable Checkerboard Globe with 30% eco materials Signature Sidestripe brings classic Vans DNA to the design Lace closure provides a secure, adjustable fit Height: 5"" Heel-to-toe drop: 8 MM Weight: 22.5 OZ",Initial price:$230.00Previous discounted price:$149.95Current discounted price:$89.97,1 color
Premium Old Skool Tania Shoe,New Future.,"Inspired by her time skating all over the globe, Tania delivers an Old Skool with premium rub-away leather.","As an Argentinian living in Barcelona, Tania is thriving in one of the world’s richest skate communities. Drawing inspiration from her friends in skate and art communities across the globe, Tania designed a Premium Old Skool that her whole crew would want to wear. Constructed with a rich rub-away leather that subtly changes color as the top black layer is worn off to reveal the red underneath, so each shoe will look even more unique over time.","Skate-inspired, low-top shoe Rub-away leather subtly changes color as the top black layer is worn off to reveal the red underneath Lace-up closure with brass metal eyelets Soft padded collar for enhanced comfort Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Co-branded Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic leather Sidestripe™ insignia",Initial price:$100.00Previous discounted price:$79.95Current discounted price:$47.97,4 colors
Customs Little Kids Classic Slip-On Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Classic Slip-On has a laid-back laceless canvas profile, padded collar, elastic accents, and Vans signature waffle outsole. Now they’re available in Vans Customs with multiple leather and suede options, exclusive patterns available only in Customs, and the option to Upload Your Art or photos on each shoe from your computer or smartphone. Delivered to you in 2-3 weeks with free shipping.",,$45.00 - $90.00,
Upland Mule Shoe,Free the heel.,"Chunky, retro-inspired style meets slide-on convenience and comfort.","The Upland is a shoe pulled from the Vans archives and reimagined in a mule silhouette to slide on and go. The outsole design provides a chunky stance and underfoot support, while the elevated upper materials and molded “V” logo pair for an iconic yet modern style. Finished in spring-friendly trim, oversized laces, and bold logo branding at the tongue, the Upland Mule blends the best of the past with the present.",Chunky 90s slide-in sneakers Reimagining of the original Upland silhouette Durable leather and synthetic uppers for style and strength Mule collar and padded tongue bring comfort and ease Wide laces for bold style and adjustable fit Cupsole construction provides enhanced support and durable Heritage “Flying V” logo nods to the Upland’s heritage,Initial price:$90.00Previous discounted price:$74.95Current discounted price:$44.97,2 colors
Toddler Knu Skool Checkerboard Shoe,In With The Knu.,Puffed-up ’90s design with elastic laces that slip on fast and stay put.,"Born in ’98, the Knu Skool took inspiration from the iconic Old Skool to create something entirely its own. The Toddler version pairs that now iconic oversized look with elastic laces... easy on and easy off.",Toddlers '90s low top shoe Recommended for ages 9 months to 4 years Suede and canvas upper layers two textures Oversized tongue and padded collar for extra comfort Elastic lace function like slip-ons for easy on and off Heel pulls for ease of entry Puffy 3D Sidestripe™ blends throwback style with a modern edge Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel,Initial price:$43.00Discounted price:$21.98,11 colors
Customs Sk8-Hi Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Sk8-Hi, Vans legendary lace-up high-top built for skating, has an Off the Wall persona thanks to the iconic leather sidestripe, study canvas reinforced toecaps to withstand abuse, a flexible padded collar and heel and Vans signature Waffle Outsole. Now they’re available in Vans Customs where each shoe can be personalized with custom leather and suede, various lace and eyelet colors, exclusive patterns available only in Customs, and the option to Upload Your Art or photos from your computer or smartphone. Delivered to you in 2-3 weeks with free shipping.",,$110.00,
Customs Classic Slip-On Suede Shoe,Custom. Since before that was a thing,"A Vans tradition since 1966. Pick your shoe, colors, and patterns—make them yours.","The Classic Slip-On has a laid-back laceless canvas profile, padded collar, elastic accents, and Vans signature Waffle Outsole. Now they’re available in Vans Customs with multiple leather and suede options, exclusive patterns available only in Customs, and the option to Upload Your Art or photos on each shoe from your computer or smartphone. Pick your shoe, pick your colors and patterns, and make them yours.",,$90.00,
